start_station,end_station,count
Olav Kyrres plass,Karenslyst allé,323
Sukkerbiten,Olaf Ryes plass,323
Helga Helgesens plass,Jakob kirke,323
Hoffsveien,Skoeyen,323
Aker Brygge,St. Olavs gate,322
Aker Brygge,Slottsparken oest,322
Parkveien,Jernbanetorget,322
Fagerheimgata,Sjoesiden ved trappen,322
Myraloekka oest,Ringnes Park,322
Uranienborgveien,7. juni-plassen,322
Olaf Ryes plass,Stjerneplassen,322
Munkegata,Sukkerbiten,322
Vestkanttorvet,Filipstadveien,321
Skillebekk,Huitfeldts gate,321
Jordalgata,Helga Helgesens plass,321
The Hub,Alexander Kiellands Plass,320
Ringnes Park,Landstads gate,320
Schous plass,Vaterlandsparken,320
Vulkan,Spikersuppa Vest,320
Sukkerbiten,Rostockgata,320
Bislettgata,Spikersuppa Vest,320
Lodalen busstopp,Bjoervika,320
Tjuvholmen,Hydroparken,319
Dokkveien,Dokkveien,319
Paléhaven,Rostockgata,319
Dyvekes bru,Helga Helgesens plass,319
7. juni-plassen,Uranienborgveien,319
Alexander Kiellands Plass,Helga Helgesens plass,318
Birkelunden,Sofienberggata,318
Jernbanetorget,Aker Brygge,318
Jernbanetorget,Rostockgata,318
Sofienbergparken nordvest,Linaaes gate,318
Aker Brygge,Vaar Frelsers gravlund,317
BI Nydalen,Bjoelsen Studentby,317
Bislett Stadion,Tjuvholmen,317
Helga Helgesens plass,Schous plass,317
Hausmanns gate,Helga Helgesens plass,317
Lille Grensen,Lille Grensen,317
Enerhaugen,Annette Thommessens Plass,317
Saga Kino,Aker Brygge 3 mot Fergene,316
Toeyen skole,Vaterlandsparken,316
Alexander Kiellands Plass,Kirkeristen,316
Olav Kyrres plass,Skoeyen,316
Skillebekk,7. juni-plassen,316
Oscars gate,7. juni-plassen,316
Sofienbergparken nord,Helga Helgesens plass,316
Kirkegata 15,Kirkegata 15,316
Birkelunden,Sukkerbiten,315
Finnmarksgata,Toeyen skole,315
Jess Carlsens gate,Vaterlandsparken,315
Olaf Ryes plass,Sjoesiden ved fontenen,315
Hammersborg Torg,Linaaes gate,315
Parkveien,Saga Kino,314
Bislett Stadion,Bjerregaards gate,314
Linaaes gate,Jens Bjelkes Gate,314
Annette Thommessens Plass,Raadhusgata,314
Aker Brygge,Sjoesiden ved fontenen,313
Sjoesiden ved fontenen,Vippetangen vest,313
Frogner Stadion,Frogner Stadion,313
Olaf Ryes plass,Alexander Kiellands Plass,313
Jordalgata,Sjoesiden ved trappen,313
Aker Brygge,Studentparlamentet,312
Sogn Studentby,Sognsveien,312
Chr. Michelsens Gate,Alexander Kiellands Plass,312
Dokkveien,Rostockgata,312
Skillebekk,Oslo Handelsgymnasium,311
Jens Bjelkes Gate,Sukkerbiten,311
Dokkveien,Vippetangen vest,311
Oslo Hospital,Sukkerbiten,311
The Hub,Sukkerbiten,310
Vaar Frelsers gravlund,Kirkeristen,310
Ringnes Park,The Hub,310
Sukkerbiten,The Hub,310
Torggata,Jens Bjelkes Gate,310
Dokkveien,St. Olavs gate,310
Aker Brygge,Torggata,309
The Hub,Torggata,309
Sentrum Scene,AHO,309
Sirkustomta,Toeyen skole,309
Holbergs plass,Saga Kino,309
Jordalgata,Kvaernerbyen,309
Botanisk Hage soer,Sukkerbiten,308
Majorstua skole,Drammensveien,308
Botanisk Hage soer,The Hub,306
Fagerheimgata,Toeyen skole,306
Akerselvallmenningen,Sukkerbiten,305
Bislett Stadion,Saga Kino,305
Sofienbergparken soer,Torggata,305
Torggata,Soendre gate,305
Linaaes gate,Hammersborg Torg,305
Fagerheimgata,Schous plass,304
Saga Kino,Filipstadveien,303
Kirkeristen,Sofienbergparken nord,303
Toeyen skole,Jakob kirke,303
Toeyen skole,Sofienbergparken soer,303
Fram-gaarden,Tjuvholmen,303
AHO,Spikersuppa oest,303
Bislettgata,Bogstadveien,303
Rostockgata,Helga Helgesens plass,302
Vaar Frelsers gravlund,Jernbanetorget,302
Toeyen skole,Ringnes Park,302
Toeyen skole,Marcus Thranes gate,302
Sukkerbiten,Tjuvholmen,302
Jernbanetorget,Jernbanetorget,302
Lille Grensen,Sukkerbiten,302
Galgeberg,Dyvekes bru,302
Skoeyen Stasjon,Hoff terrasse holdeplass,302
Moelleparken,Olaf Ryes plass,301
